STOP_FRISK_ID,STOP_FRISK_TIME,MONTH2,DAY2,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME
10045,22:10:00,January,Friday,UNAUTHORIZED USE OF A VEHICLE,5,N,N,(null),50,MALE,WHITE,QUEENS
10046,21:23:00,January,Saturday,ROBBERY,7,N,Y,(null),58,MALE,WHITE,QUEENS
10047,0:30:00,January,Saturday,ROBBERY,2,N,N,(null),17,MALE,ASIAN/PAC.ISL,QUEENS
10048,20:00:00,February,Saturday,ROBBERY,10,N,Y,(null),22,MALE,BLACK HISPANIC,QUEENS
10049,20:00:00,February,Saturday,ROBBERY,10,N,Y,(null),21,MALE,BLACK HISPANIC,QUEENS
10050,20:00:00,February,Saturday,ROBBERY,10,N,Y,(null),22,MALE,BLACK HISPANIC,QUEENS
10051,20:00:00,February,Saturday,RECKLESS ENDANGERMENT,10,N,Y,(null),23,MALE,BLACK HISPANIC,QUEENS
10052,12:08:00,February,Monday,ASSAULT,20,N,Y,(null),16,MALE,BLACK,QUEENS
10053,12:08:00,February,Monday,ASSAULT,20,N,Y,(null),13,MALE,WHITE,QUEENS
10054,12:08:00,February,Monday,ASSAULT,20,N,Y,(null),15,MALE,WHITE,QUEENS
10055,12:08:00,February,Monday,ASSAULT,20,N,Y,(null),14,MALE,BLACK,QUEENS
10056,0:56:00,February,Saturday,GRAND LARCENY AUTO,10,N,Y,(null),16,MALE,WHITE HISPANIC,QUEENS
10057,10:19:00,February,Sunday,ROBBERY,5,N,N,(null),20,MALE,BLACK,QUEENS
10058,23:44:00,February,Wednesday,BURGLARY,10,N,Y,(null),(null),MALE,ASIAN/PAC.ISL,QUEENS
10059,23:44:00,February,Wednesday,BURGLARY,10,N,Y,(null),(null),MALE,ASIAN/PAC.ISL,QUEENS
10060,12:15:00,February,Sunday,ASSAULT,10,N,Y,(null),27,MALE,WHITE HISPANIC,QUEENS
10061,18:45:00,February,Sunday,OTHER,15,Y,Y,(null),23,MALE,WHITE HISPANIC,QUEENS
10062,13:45:00,February,Sunday,BURGLARY,5,N,N,(null),17,MALE,BLACK HISPANIC,QUEENS
10063,13:45:00,February,Sunday,BURGLARY,5,N,N,(null),26,MALE,WHITE HISPANIC,QUEENS
10064,13:45:00,February,Sunday,BURGLARY,5,N,N,(null),24,MALE,BLACK HISPANIC,QUEENS
10065,23:00:00,February,Friday,ROBBERY,10,N,Y,(null),17,MALE,BLACK,QUEENS
10066,21:15:00,February,Wednesday,GRAND LARCENY,15,N,Y,(null),17,MALE,(null),QUEENS
10067,21:15:00,February,Wednesday,GRAND LARCENY,15,Y,Y,(null),16,MALE,(null),QUEENS
10068,10:05:00,March,Friday,GRAND LARCENY AUTO,13,N,Y,(null),23,MALE,(null),QUEENS
10069,22:54:00,February,Sunday,ASSAULT,45,N,Y,(null),36,MALE,WHITE HISPANIC,QUEENS
10070,19:10:00,March,Tuesday,PETIT LARCENY,30,N,N,(null),36,MALE,WHITE HISPANIC,QUEENS
10071,22:30:00,March,Wednesday,GRAND LARCENY AUTO,12,N,N,(null),20,MALE,BLACK,QUEENS
10072,22:30:00,March,Wednesday,GRAND LARCENY AUTO,12,N,N,(null),21,MALE,BLACK,QUEENS
10073,21:20:00,March,Tuesday,GRAND LARCENY AUTO,2,N,N,(null),16,MALE,ASIAN/PAC.ISL,QUEENS
10074,21:20:00,March,Tuesday,GRAND LARCENY AUTO,2,N,N,(null),17,MALE,ASIAN/PAC.ISL,QUEENS
10075,23:40:00,March,Saturday,AUTO STRIPPIG,5,N,N,(null),37,MALE,WHITE HISPANIC,QUEENS
10076,19:42:00,March,Sunday,CPW,5,N,Y,(null),53,MALE,WHITE HISPANIC,QUEENS
10077,20:10:00,February,Friday,CRIMINAL TRESPASS,10,Y,N,(null),18,FEMALE,WHITE HISPANIC,QUEENS
10078,19:05:00,March,Wednesday,BURGLARY,3,N,Y,(null),18,MALE,(null),QUEENS
10079,20:58:00,March,Monday,PETIT LARCENY,10,N,N,(null),50,MALE,WHITE,QUEENS
10080,22:02:00,March,Saturday,GRAND LARCENY AUTO,3,N,N,(null),48,MALE,ASIAN/PAC.ISL,QUEENS
10081,18:15:00,March,Sunday,CRIMINAL SALE OF MARIHUANA,45,N,N,(null),29,MALE,ASIAN/PAC.ISL,QUEENS
10082,17:40:00,March,Thursday,ROBBERY,3,N,N,(null),18,FEMALE,WHITE HISPANIC,QUEENS
10083,17:40:00,March,Thursday,ROBBERY,3,N,N,(null),19,MALE,BLACK,QUEENS
10084,17:50:00,March,Thursday,ROBBERY,5,N,Y,(null),16,MALE,BLACK,QUEENS
10085,20:00:00,March,Friday,OTHER,3,N,N,(null),16,MALE,BLACK,QUEENS
10086,20:24:00,April,Saturday,BURGLARY,5,N,Y,(null),25,MALE,WHITE,QUEENS
10087,20:24:00,April,Saturday,BURGLARY,5,N,Y,(null),21,MALE,WHITE,QUEENS
10088,20:24:00,April,Saturday,BURGLARY,5,N,Y,(null),20,MALE,WHITE,QUEENS
10089,7:40:00,April,Wednesday,PETIT LARCENY,5,N,N,(null),57,MALE,WHITE HISPANIC,QUEENS
10090,15:57:00,April,Wednesday,GRAND LARCENY,1,N,N,(null),17,MALE,BLACK,QUEENS
10091,15:57:00,April,Wednesday,GRAND LARCENY,1,N,N,(null),16,MALE,BLACK,QUEENS
10092,20:35:00,April,Sunday,BURGLARY,10,Y,Y,(null),23,MALE,ASIAN/PAC.ISL,QUEENS
10093,23:24:00,April,Saturday,MAKING GRAFFITI,5,N,N,(null),21,MALE,WHITE HISPANIC,QUEENS
10094,23:24:00,April,Saturday,MAKING GRAFFITI,5,N,N,(null),20,MALE,WHITE HISPANIC,QUEENS
10095,17:33:00,April,Saturday,ROBBERY,5,Y,N,(null),18,MALE,ASIAN/PAC.ISL,QUEENS
10096,14:50:00,April,Monday,BURGLARY,5,N,N,(null),27,MALE,WHITE HISPANIC,QUEENS
10097,21:25:00,April,Wednesday,CPW,5,N,Y,(null),45,(null),ASIAN/PAC.ISL,QUEENS
10098,15:54:00,April,Friday,ROBBERY,13,Y,N,(null),18,MALE,BLACK,QUEENS
